"TimeInt";"TimeStr";"IsInitValue";"Value";"IQuality"
1596077389;"30/07/2020 02:49:49";0;967440.1;3
1596077419;"30/07/2020 02:50:19";0;967443.1;3
1596077449;"30/07/2020 02:50:49";0;967446.1;3
1596077479;"30/07/2020 02:51:19";0;967449.1;3
1596077509;"30/07/2020 02:51:49";0;967452.1;3
1596077539;"30/07/2020 02:52:19";0;967455.1;3
1596077569;"30/07/2020 02:52:49";0;967458.1;3
1596077599;"30/07/2020 02:53:19";0;967461.1;3
1596077629;"30/07/2020 02:53:49";0;967464.3;3
1596077659;"30/07/2020 02:54:19";0;967469.7;3
1596077689;"30/07/2020 02:54:49";0;967475.9;3
1596077719;"30/07/2020 02:55:19";0;967480.8;3
1596077749;"30/07/2020 02:55:49";0;967485;3
1596077779;"30/07/2020 02:56:19";0;967488.9;3
1596077809;"30/07/2020 02:56:49";0;967492.5;3
1596077839;"30/07/2020 02:57:19";0;967496;3
1596077869;"30/07/2020 02:57:49";0;967499.4;3
1596077899;"30/07/2020 02:58:19";0;967502.8;3
1596077929;"30/07/2020 02:58:49";0;967506.1;3
1596077959;"30/07/2020 02:59:19";0;967509.4;3
1596077989;"30/07/2020 02:59:49";0;967512.8;3
1596078019;"30/07/2020 03:00:19";0;967516;3
1596078049;"30/07/2020 03:00:49";0;967519.2;3
1596078079;"30/07/2020 03:01:19";0;967522.5;3
1596078109;"30/07/2020 03:01:49";0;967525.4;3
1596078139;"30/07/2020 03:02:19";0;967528.2;3
1596078169;"30/07/2020 03:02:49";0;967531;3
1596078199;"30/07/2020 03:03:19";0;967533.8;3
1596078229;"30/07/2020 03:03:49";0;967536.5;3
1596078259;"30/07/2020 03:04:19";0;967539.2;3
1596078289;"30/07/2020 03:04:49";0;967542;3
1596078319;"30/07/2020 03:05:19";0;967544.7;3
1596078349;"30/07/2020 03:05:49";0;967547.4;3
1596078379;"30/07/2020 03:06:19";0;967550.1;3
1596078409;"30/07/2020 03:06:49";0;967552.7;3
1596078439;"30/07/2020 03:07:19";0;967555.3;3
1596078469;"30/07/2020 03:07:49";0;967557.9;3
1596078499;"30/07/2020 03:08:19";0;967560.6;3
1596078529;"30/07/2020 03:08:49";0;967563.2;3
1596078559;"30/07/2020 03:09:19";0;967565.8;3
1596078589;"30/07/2020 03:09:49";0;967568.6;3
1596078619;"30/07/2020 03:10:19";0;967571.6;3
1596078649;"30/07/2020 03:10:49";0;967574.6;3
1596078679;"30/07/2020 03:11:19";0;967577.6;3
1596078709;"30/07/2020 03:11:49";0;967580.6;3
1596078739;"30/07/2020 03:12:19";0;967583.6;3
1596078769;"30/07/2020 03:12:49";0;967586.5;3
1596078799;"30/07/2020 03:13:19";0;967589.4;3
1596078829;"30/07/2020 03:13:49";0;967592.4;3
1596078859;"30/07/2020 03:14:19";0;967595.2;3
1596078889;"30/07/2020 03:14:49";0;967598.1;3
1596078919;"30/07/2020 03:15:19";0;967600.8;3
1596078949;"30/07/2020 03:15:49";0;967603.4;3
1596078979;"30/07/2020 03:16:19";0;967605.9;3
1596079009;"30/07/2020 03:16:49";0;967608.5;3
1596079039;"30/07/2020 03:17:19";0;967611.1;3
1596079069;"30/07/2020 03:17:49";0;967613.6;3
1596079099;"30/07/2020 03:18:19";0;967616.2;3
1596079129;"30/07/2020 03:18:49";0;967618.8;3
1596079159;"30/07/2020 03:19:19";0;967621.3;3
1596079189;"30/07/2020 03:19:49";0;967623.9;3
1596079219;"30/07/2020 03:20:19";0;967626.4;3
1596079249;"30/07/2020 03:20:49";0;967629;3
1596079279;"30/07/2020 03:21:19";0;967631.6;3
1596079309;"30/07/2020 03:21:49";0;967634.1;3
1596079339;"30/07/2020 03:22:19";0;967636.7;3
1596079369;"30/07/2020 03:22:49";0;967639.2;3
1596079399;"30/07/2020 03:23:19";0;967641.7;3
1596079429;"30/07/2020 03:23:49";0;967644.1;3
1596079459;"30/07/2020 03:24:19";0;967647.9;3
1596079489;"30/07/2020 03:24:49";0;967653.5;3
1596079519;"30/07/2020 03:25:19";0;967658.4;3
1596079549;"30/07/2020 03:25:49";0;967662.1;3
1596079579;"30/07/2020 03:26:19";0;967665.4;3
1596079609;"30/07/2020 03:26:49";0;967668.3;3
1596079639;"30/07/2020 03:27:19";0;967671.1;3
1596079669;"30/07/2020 03:27:49";0;967673.8;3
1596079699;"30/07/2020 03:28:19";0;967676.4;3
1596079729;"30/07/2020 03:28:49";0;967678.9;3
1596079759;"30/07/2020 03:29:19";0;967681.4;3
1596079789;"30/07/2020 03:29:49";0;967683.9;3
1596079819;"30/07/2020 03:30:19";0;967686.4;3
1596079849;"30/07/2020 03:30:49";0;967688.8;3
1596079879;"30/07/2020 03:31:19";0;967691.2;3
1596079909;"30/07/2020 03:31:49";0;967693.7;3
1596079939;"30/07/2020 03:32:19";0;967696.1;3
1596079969;"30/07/2020 03:32:49";0;967698.4;3
1596079999;"30/07/2020 03:33:19";0;967700.8;3
1596080029;"30/07/2020 03:33:49";0;967703.2;3
1596080059;"30/07/2020 03:34:19";0;967705.7;3
1596080089;"30/07/2020 03:34:49";0;967708.4;3
1596080119;"30/07/2020 03:35:19";0;967711.1;3
1596080149;"30/07/2020 03:35:49";0;967713.9;3
1596080179;"30/07/2020 03:36:19";0;967716.8;3
1596080209;"30/07/2020 03:36:49";0;967719.5;3
1596080239;"30/07/2020 03:37:19";0;967722.2;3
1596080269;"30/07/2020 03:37:49";0;967725;3
1596080299;"30/07/2020 03:38:19";0;967727.8;3
1596080329;"30/07/2020 03:38:49";0;967730.5;3
1596080359;"30/07/2020 03:39:19";0;967733.2;3
1596080389;"30/07/2020 03:39:49";0;967736;3
1596080419;"30/07/2020 03:40:19";0;967738.8;3
1596080449;"30/07/2020 03:40:49";0;967741.5;3
1596080479;"30/07/2020 03:41:19";0;967744.2;3
1596080509;"30/07/2020 03:41:49";0;967747;3
1596080539;"30/07/2020 03:42:19";0;967749.8;3
1596080569;"30/07/2020 03:42:49";0;967752.4;3
1596080599;"30/07/2020 03:43:19";0;967755.1;3
1596080629;"30/07/2020 03:43:49";0;967757.8;3
1596080659;"30/07/2020 03:44:19";0;967760.5;3
